1346969344362782721	@SergMares	Serg	So embarrassed of our country today. What a shame. Today will be one of those days our kids will read about. #shame #45didthis
1346968863796293635	@ShawnPFitzgera1	Shawn P. Fitzgerald	Until today, I’ve never been more ashamed to be an American. #disgraceful #RemoveTrumpNow #shame
1346968836311052289	@knolinfos	Knol Infos 🤖  🚀📚🖥️	#BackToTheCaves #Society actually, WHAT a #Shame!!!
1346967211064258562	@billiam2482	William Gruenloh	So much for the curfew. Those terrorists are still standing out there free as birds. Wonder why they’re not being gassed and cuffed and beaten. Hmmmmm... #Shame
1346967066520113152	@tammybangs	Tammy Bangs, CAMS	So much PTSD for so many from this administration. Never been so disgusted or disheartened by my fellow Americans as today. Disgusting display of fascism. #CoupAttempt #CapitolHill #Shame
1346966401446260737	@krimson_leash	Alicia Grace	If you support what happened in the capitol today....no matter what party you are. You are trash. And I have no respect for you. #capitolbreach #shame
1346966180158971906	@Duendelicious	Josh Montoya	Appalled. #disgraceful #shame
1346963808770686982	@kevinbrennan520	Kevin Brennan ~ Big Democracy Fan	Judging by video of the mob participants, I propose that today's insurrection be dubbed "The Walmart Rebellion." [NEWLINE][NEWLINE]#WashingtonDCProtest #shame
1346962814850789382	@bellatrixr	bellatrixr 🌊	It is 31 minutes past curfew and the police are just looking in the distance at all of these trump slugs. #shame
1346962168433008646	@chemaskandal	CHema Skandal! ✌🏿👹🏴	#SHAME
1346962006109204481	@bdyoung25	Brent Young	The hypocrisy of the far left and far right knows no bounds. You can't condemn BLM and Antifa riots and be ok with this. You also can't be all for BLM and Antifa riots and now be appalled at this. Both are wrong. Those of us who condemn both at least are consistent. #shame
1346958903955877890	@sarand45094570	tuckurshirtinrudy!	Trumps last tweet filled me with such rage . I can’t believe what he just said!!!! “This is what happens”??!!! Hope you like ass rape daily no lube you piece of shit disgrace #ArrestTrump #SHAME ON YOU
1346958462618660866	@padam_regmi7724	Padam R. Regmi	#Shame
1346957825948442624	@KeinB	Niki Barnes	This is a sad day...smh #shame
1346957372997193729	@sfasurach	Rach	Didn’t like rioting this summer, don’t like it now. #shame
1346957054313787393	@CStouges	carrot stouges	#Trump is CELEBRATING a woman's DEATH urging his supporters to remember this day gloriously. Back to the caves much ? [NEWLINE]#Shame
1346957047410032642	@heymikemayo	Michael Mayo	All these Republicans acting surprised that they turned up the temperature and the furnace finally exploded. Spare me the outrage. You enabled this. The people voted, ballots were counted and Trump lost. And you couldn’t even say Biden was president-elect. #shame #ArrestTrump
1346956969832296453	@BookAddictQueen	BookAdidct-33	Facebook, Twitter and Parler this chaos, anger, vindictiveness and alternate reality is because of you!  You refused to regulate or stop this echo chamber. Now we are at the lowest point in history. Plus bots and paid shills are everywhere. #shame
1346956944901337089	@realjt1990	Josh	This situation at the capitol building and how smoothly they pushed the rioters, and frankly traitors, out was nothing how the BLM movement was treated. Hell, these people had guns on them and attacked the federal government and tried to stop democracy. #Shame #whiteprivilege
1346956870691422210	@Mesonge	Eagle Eye🌍	I hope all the Trump supporters on this bird app and even in this our continent are seeing what their champion has reduced the US democracy and prestige to. Lol 😂[NEWLINE][NEWLINE]A petulant child refusing to leave gracefully. #Shame [NEWLINE][NEWLINE]#ByeByeTrump
1346955412470435843	@Ribel44	BOATS	These people out here dying for the devil. #Shame
1346954780317511680	@jessidiaM	Jess #WearAMask	#Shame
1346954232901951488	@todomundoyAmau	Amaury Perea Mtz	Uy! No fuera gente de mi color porque ahí si los polis apuntan a matar en EUA... #Shame
1346954027079135236	@AgriaSaphira	AgriaSaphira	A huge Trump crowd approaches the Capitol. Call national guard and start teargassing them? No , lets open the gates for them to enter it and lets throw them a little bit of pepper spray. That will do the trick! Throw the whole bunch in jail and their President! #TrumpRally #shame
1346953694374289412	@TheDigitalMaori	Charis McAwesome🖤 #BLM	Wow Democrats won in Georgia, they have the Senate. [NEWLINE]Now with terrorists in the Capitol, Trump is ending his first term who will be remembered as the president who allowed foreign entitys, white terrorists while advocating cat herding & getting advice from TV to run the US #shame
1346952366407512064	@shegirl2603	Shegirl	Someone is dead.[NEWLINE]She was shot by white supremacists in the Capitol.[NEWLINE]Things need to change.[NEWLINE]Wake Up.[NEWLINE]#DCProtests [NEWLINE]#Shame [NEWLINE]#DC
1346952286032064514	@EbreFenix	Ebrefenix #donnohiha_noenraja	El desgast de la gestió de la pandèmia tota per a les comunitats (en pífies i ajuts), el govern central sembla que no va més enllà dels ertos (força pasta però no ajuda cap sector concret) i posar la bandera a les vacunes... Això és la cogovernança? #shame[NEWLINE]Illa sortirà triomfant?
1346951920015994880	@Yessiwhy	Yessi D. Murillo	Triple citizenship coming in handy right now . #shame
1346950976687788032	@sammy2428	sammy2428	What’s this about the Redcoats armed with muskets, swords and pitchforks overcoming the young nation’s fledgling forces at the capital steps? Wait...being told it was redNECKS with AR-15s and iPhones taking over to shoot selfies on the Senate floor. #shame
1346950613477838854	@alexandriaobio1	alexandria obiora	The Capitol is breached, vandalized and terrorized! But, NOTHING HAPPENS. Complete and utter white privilege! #shame
1346950214993768451	@AGTheodoridis	Alex Theodoridis	Today’s tragic events are not about the misguided fools who attacked our Capitol, but the deranged, cynical, seditious “leader” (& other elite enablers) who incited & encouraged them with years of misinformation mongering & elevating & amplifying conspiracy theories. #Shame
